Nama Menu;SKU;Kategori;Harga Jual;Departemen;Resep Baku
Djarum D;;RETAIL STORE;25000;STORE;Djarum D: 1.000
HS Kretek 12;;RETAIL STORE;15000;STORE;HS Kretek 12: 1.000
HS Filter 12;;RETAIL STORE;23000;STORE;HS Filter 12: 1.000
HS Mild Ori 16;;RETAIL STORE;32000;STORE;HS Mild Ori 16: 1.000
HS Mild Purple Ice 16;;RETAIL STORE;32000;STORE;HS Mild Purple Ice 16: 1.000
HS Mild Mango Ice;;RETAIL STORE;32000;STORE;HS Mild Mango Ice: 1.000
HS Slim Original 20;;RETAIL STORE;35000;STORE;HS Slim Original 20: 1.000
HS Slim Menthol 20;;RETAIL STORE;35000;STORE;HS Slim Menthol 20: 1.000
HS Slim Fresh Mint 20;;RETAIL STORE;40000;STORE;HS Slim Fresh Mint 20: 1.000
HS Slim Purple Click 20;;RETAIL STORE;40000;STORE;HS Slim Purple Click 20: 1.000
HS Bold;;RETAIL STORE;35000;STORE;HS Bold: 1.000
Djarum Super Kretek;;RETAIL STORE;25000;STORE;Djarum Super Kretek: 1.000
Korek Biasa;;RETAIL STORE;5000;STORE;Korek Biasa: 1.000
Korek Kricket;;RETAIL STORE;7500;STORE;Korek Kricket: 1.000
IQOS Sun Pearl;;RETAIL STORE;35000;STORE;IQOS Sun Pearl: 1.000
Djarum 76 Apel Royal;;RETAIL STORE;25000;STORE;Djarum 76 Apel Royal: 1.000
Permen Frozz;;RETAIL STORE;8000;STORE;Permen Frozz: 1.000
Kacang Thailand;;RETAIL STORE;10000;STORE;Kacang Thailand: 1.000
Kacang Koro;;RETAIL STORE;10000;STORE;Kacang Koro: 1.000
Sumpia Ebi;;RETAIL STORE;10000;STORE;Sumpia Ebi: 1.000
Djarum Black Matcha;;RETAIL STORE;26000;STORE;Djarum Black Matcha: 1.000
